material,year,top_1_producer,top_1_producer_share,top_1_producer_share_pct,top_3_producers,top_3_producer_share,top_3_producer_share_pct,hhi_concentration_index,producer_count,active_producer_count,sum_producer_share,sum_producer_share_pct,share_coverage_flag,concentration_rank,data_caveat_note
natural_graphite,2024,China,0.79375,79.375,China;Madagascar;Mozambique,0.89625,89.625,6380.865776953125,19,18,1.0191687499999997,101.91687499999998,ok,1,includes_source_reported_zero_rows;includes_estimated_values
cobalt,2024,Congo (Kinshasa),0.7586206896551724,75.86206896551724,Congo (Kinshasa);Indonesia;Russia,0.8851724137931034,88.51724137931033,5871.850178359097,13,13,0.9937931034482758,99.37931034482757,ok,2,includes_other_countries_aggregate;includes_estimated_values
nickel,2024,Indonesia,0.5945945945945946,59.45945945945946,Indonesia;Philippines;Other countries,0.7648648648648648,76.48648648648648,3771.8721694667643,10,10,0.9878378378378379,98.78378378378379,ok,3,includes_other_countries_aggregate;includes_estimated_values
lithium,2024,Australia,0.36666666666666664,36.666666666666664,Australia;Chile;China,0.7416666666666667,74.16666666666667,2215.264652777778,9,9,0.98075,98.075,ok,4,includes_estimated_values
manganese,2024,South Africa,0.37,37.0,South Africa;Gabon;Australia,0.74,74.0,2200.0274999999997,11,10,0.9924999999999999,99.25,ok,5,includes_other_countries_aggregate;includes_source_reported_zero_rows;includes_estimated_values
